PERMNO,date,TICKER,COMNAM,RET
10825,20080102,TSFG,SOUTH FINL GROUP INC,-0.035189
10825,20080103,TSFG,SOUTH FINL GROUP INC,-0.037798
10825,20080104,TSFG,SOUTH FINL GROUP INC,-0.071675
10825,20080107,TSFG,SOUTH FINL GROUP INC,0.023014
10825,20080108,TSFG,SOUTH FINL GROUP INC,-0.042816
10825,20080109,TSFG,SOUTH FINL GROUP INC,0.011372
10825,20080110,TSFG,SOUTH FINL GROUP INC,0.040480
10825,20080111,TSFG,SOUTH FINL GROUP INC,-0.007925
10825,20080114,TSFG,SOUTH FINL GROUP INC,-0.013991
10825,20080115,TSFG,SOUTH FINL GROUP INC,-0.036595
10825,20080116,TSFG,SOUTH FINL GROUP INC,0.039535
10825,20080117,TSFG,SOUTH FINL GROUP INC,-0.035794
10825,20080118,TSFG,SOUTH FINL GROUP INC,-0.024749
10825,20080122,TSFG,SOUTH FINL GROUP INC,0.023791
10825,20080123,TSFG,SOUTH FINL GROUP INC,0.088304
10825,20080124,TSFG,SOUTH FINL GROUP INC,0.022064
10825,20080125,TSFG,SOUTH FINL GROUP INC,0.018802
10825,20080128,TSFG,SOUTH FINL GROUP INC,0.083390
10825,20080129,TSFG,SOUTH FINL GROUP INC,0.014511
10825,20080130,TSFG,SOUTH FINL GROUP INC,0.029851
10825,20080131,TSFG,SOUTH FINL GROUP INC,0.043478
10825,20080201,TSFG,SOUTH FINL GROUP INC,0.037616
10825,20080204,TSFG,SOUTH FINL GROUP INC,-0.059119
10825,20080205,TSFG,SOUTH FINL GROUP INC,-0.021932
10825,20080206,TSFG,SOUTH FINL GROUP INC,0.001818
10825,20080207,TSFG,SOUTH FINL GROUP INC,0.027828
10825,20080208,TSFG,SOUTH FINL GROUP INC,-0.012360
10825,20080211,TSFG,SOUTH FINL GROUP INC,-0.038737
10825,20080212,TSFG,SOUTH FINL GROUP INC,0.009920
10825,20080213,TSFG,SOUTH FINL GROUP INC,0.020872
10825,20080214,TSFG,SOUTH FINL GROUP INC,-0.019844
10825,20080215,TSFG,SOUTH FINL GROUP INC,-0.002454
10825,20080219,TSFG,SOUTH FINL GROUP INC,-0.022755
10825,20080220,TSFG,SOUTH FINL GROUP INC,0.018880
10825,20080221,TSFG,SOUTH FINL GROUP INC,-0.039531
10825,20080222,TSFG,SOUTH FINL GROUP INC,-0.009646
10825,20080225,TSFG,SOUTH FINL GROUP INC,0.006494
10825,20080226,TSFG,SOUTH FINL GROUP INC,0.010968
10825,20080227,TSFG,SOUTH FINL GROUP INC,0.008934
10825,20080228,TSFG,SOUTH FINL GROUP INC,-0.037318
10825,20080229,TSFG,SOUTH FINL GROUP INC,-0.051905
10825,20080303,TSFG,SOUTH FINL GROUP INC,-0.021483
10825,20080304,TSFG,SOUTH FINL GROUP INC,-0.012748
10825,20080305,TSFG,SOUTH FINL GROUP INC,-0.004304
10825,20080306,TSFG,SOUTH FINL GROUP INC,-0.036023
10825,20080307,TSFG,SOUTH FINL GROUP INC,0.020927
10825,20080310,TSFG,SOUTH FINL GROUP INC,0.012445
10825,20080311,TSFG,SOUTH FINL GROUP INC,0.091829
10825,20080312,TSFG,SOUTH FINL GROUP INC,-0.033113
10825,20080313,TSFG,SOUTH FINL GROUP INC,0.015068
10825,20080314,TSFG,SOUTH FINL GROUP INC,-0.012820
10825,20080317,TSFG,SOUTH FINL GROUP INC,-0.029392
10825,20080318,TSFG,SOUTH FINL GROUP INC,0.057042
10825,20080319,TSFG,SOUTH FINL GROUP INC,-0.004664
10825,20080320,TSFG,SOUTH FINL GROUP INC,0.046185
10825,20080324,TSFG,SOUTH FINL GROUP INC,0.023672
10825,20080325,TSFG,SOUTH FINL GROUP INC,0.010000
10825,20080326,TSFG,SOUTH FINL GROUP INC,-0.039604
10825,20080327,TSFG,SOUTH FINL GROUP INC,-0.028351
10825,20080328,TSFG,SOUTH FINL GROUP INC,-0.035809
10825,20080331,TSFG,SOUTH FINL GROUP INC,0.022008
12073,20080102,PBCT,PEOPLES UNITED FINANCIAL INC,-0.024157
12073,20080103,PBCT,PEOPLES UNITED FINANCIAL INC,0.001151
12073,20080104,PBCT,PEOPLES UNITED FINANCIAL INC,-0.026452
12073,20080107,PBCT,PEOPLES UNITED FINANCIAL INC,0.007088
12073,20080108,PBCT,PEOPLES UNITED FINANCIAL INC,-0.026393
12073,20080109,PBCT,PEOPLES UNITED FINANCIAL INC,-0.002410
12073,20080110,PBCT,PEOPLES UNITED FINANCIAL INC,0.019928
12073,20080111,PBCT,PEOPLES UNITED FINANCIAL INC,-0.011841
12073,20080114,PBCT,PEOPLES UNITED FINANCIAL INC,-0.016777
12073,20080115,PBCT,PEOPLES UNITED FINANCIAL INC,-0.026813
12073,20080116,PBCT,PEOPLES UNITED FINANCIAL INC,0.003757
12073,20080117,PBCT,PEOPLES UNITED FINANCIAL INC,-0.048659
12073,20080118,PBCT,PEOPLES UNITED FINANCIAL INC,0.010492
12073,20080122,PBCT,PEOPLES UNITED FINANCIAL INC,-0.024010
12073,20080123,PBCT,PEOPLES UNITED FINANCIAL INC,0.065825
12073,20080124,PBCT,PEOPLES UNITED FINANCIAL INC,0.016220
12073,20080125,PBCT,PEOPLES UNITED FINANCIAL INC,-0.015961
12073,20080128,PBCT,PEOPLES UNITED FINANCIAL INC,-0.004367
12073,20080129,PBCT,PEOPLES UNITED FINANCIAL INC,0.011905
12073,20080130,PBCT,PEOPLES UNITED FINANCIAL INC,-0.018371
12073,20080131,PBCT,PEOPLES UNITED FINANCIAL INC,0.074427
12073,20080201,PBCT,PEOPLES UNITED FINANCIAL INC,0.033156
12073,20080204,PBCT,PEOPLES UNITED FINANCIAL INC,-0.028080
12073,20080205,PBCT,PEOPLES UNITED FINANCIAL INC,-0.002358
12073,20080206,PBCT,PEOPLES UNITED FINANCIAL INC,-0.001773
12073,20080207,PBCT,PEOPLES UNITED FINANCIAL INC,0.020130
12073,20080208,PBCT,PEOPLES UNITED FINANCIAL INC,-0.008706
12073,20080211,PBCT,PEOPLES UNITED FINANCIAL INC,-0.003513
12073,20080212,PBCT,PEOPLES UNITED FINANCIAL INC,0.003525
12073,20080213,PBCT,PEOPLES UNITED FINANCIAL INC,-0.004098
12073,20080214,PBCT,PEOPLES UNITED FINANCIAL INC,-0.001176
12073,20080215,PBCT,PEOPLES UNITED FINANCIAL INC,0.020600
12073,20080219,PBCT,PEOPLES UNITED FINANCIAL INC,-0.031719
12073,20080220,PBCT,PEOPLES UNITED FINANCIAL INC,0.012507
12073,20080221,PBCT,PEOPLES UNITED FINANCIAL INC,-0.008824
12073,20080222,PBCT,PEOPLES UNITED FINANCIAL INC,0.004748
12073,20080225,PBCT,PEOPLES UNITED FINANCIAL INC,0.015948
12073,20080226,PBCT,PEOPLES UNITED FINANCIAL INC,0.004651
12073,20080227,PBCT,PEOPLES UNITED FINANCIAL INC,-0.007523
12073,20080228,PBCT,PEOPLES UNITED FINANCIAL INC,-0.001749
12073,20080229,PBCT,PEOPLES UNITED FINANCIAL INC,-0.015187
12073,20080303,PBCT,PEOPLES UNITED FINANCIAL INC,-0.018980
12073,20080304,PBCT,PEOPLES UNITED FINANCIAL INC,0.002418
12073,20080305,PBCT,PEOPLES UNITED FINANCIAL INC,-0.007841
12073,20080306,PBCT,PEOPLES UNITED FINANCIAL INC,-0.017021
12073,20080307,PBCT,PEOPLES UNITED FINANCIAL INC,-0.013605
12073,20080310,PBCT,PEOPLES UNITED FINANCIAL INC,-0.013166
12073,20080311,PBCT,PEOPLES UNITED FINANCIAL INC,0.077509
12073,20080312,PBCT,PEOPLES UNITED FINANCIAL INC,-0.030660
12073,20080313,PBCT,PEOPLES UNITED FINANCIAL INC,0.018856
12073,20080314,PBCT,PEOPLES UNITED FINANCIAL INC,-0.014925
12073,20080317,PBCT,PEOPLES UNITED FINANCIAL INC,0.011515
12073,20080318,PBCT,PEOPLES UNITED FINANCIAL INC,0.046734
12073,20080319,PBCT,PEOPLES UNITED FINANCIAL INC,-0.040641
12073,20080320,PBCT,PEOPLES UNITED FINANCIAL INC,0.046539
12073,20080324,PBCT,PEOPLES UNITED FINANCIAL INC,-0.018814
12073,20080325,PBCT,PEOPLES UNITED FINANCIAL INC,0.053457
12073,20080326,PBCT,PEOPLES UNITED FINANCIAL INC,-0.030888
12073,20080327,PBCT,PEOPLES UNITED FINANCIAL INC,0.013660
12073,20080328,PBCT,PEOPLES UNITED FINANCIAL INC,-0.031443
12073,20080331,PBCT,PEOPLES UNITED FINANCIAL INC,0.003478
12140,20080102,GR,GOODRICH CORP,-0.020960
12140,20080103,GR,GOODRICH CORP,0.014466
12140,20080104,GR,GOODRICH CORP,-0.023100
12140,20080107,GR,GOODRICH CORP,-0.039556
12140,20080108,GR,GOODRICH CORP,-0.061702
12140,20080109,GR,GOODRICH CORP,0.027049
