PERMNO,date,TICKER,COMNAM,RET
10104,20080102,ORCL,ORACLE CORP,-0.003986
10104,20080103,ORCL,ORACLE CORP,0.027568
10104,20080104,ORCL,ORACLE CORP,-0.046733
10104,20080107,ORCL,ORACLE CORP,0.009986
10104,20080108,ORCL,ORACLE CORP,-0.049438
10104,20080109,ORCL,ORACLE CORP,0.021749
10104,20080110,ORCL,ORACLE CORP,0.003239
10104,20080111,ORCL,ORACLE CORP,-0.026753
10104,20080114,ORCL,ORACLE CORP,0.045498
10104,20080115,ORCL,ORACLE CORP,-0.033998
10104,20080116,ORCL,ORACLE CORP,0.028508
10104,20080117,ORCL,ORACLE CORP,-0.023155
10104,20080118,ORCL,ORACLE CORP,0.00794
10104,20080122,ORCL,ORACLE CORP,-0.063021
10104,20080123,ORCL,ORACLE CORP,0.019288
10104,20080124,ORCL,ORACLE CORP,0
10104,20080125,ORCL,ORACLE CORP,-0.016012
10104,20080128,ORCL,ORACLE CORP,-0.000986
10104,20080129,ORCL,ORACLE CORP,-0.009378
10104,20080130,ORCL,ORACLE CORP,0.009965
10104,20080131,ORCL,ORACLE CORP,0.013813
10104,20080201,ORCL,ORACLE CORP,0.006326
10104,20080204,ORCL,ORACLE CORP,-0.023211
10104,20080205,ORCL,ORACLE CORP,-0.04654
10104,20080206,ORCL,ORACLE CORP,0.021812
10104,20080207,ORCL,ORACLE CORP,-0.02439
10104,20080208,ORCL,ORACLE CORP,-0.000521
10104,20080211,ORCL,ORACLE CORP,0.013028
10104,20080212,ORCL,ORACLE CORP,-0.001543
10104,20080213,ORCL,ORACLE CORP,0.01288
10104,20080214,ORCL,ORACLE CORP,-0.028993
10104,20080215,ORCL,ORACLE CORP,0
10104,20080219,ORCL,ORACLE CORP,-0.003667
10104,20080220,ORCL,ORACLE CORP,0.021556
10104,20080221,ORCL,ORACLE CORP,-0.027792
10104,20080222,ORCL,ORACLE CORP,0.000529
10104,20080225,ORCL,ORACLE CORP,0.003704
10104,20080226,ORCL,ORACLE CORP,0.012652
10104,20080227,ORCL,ORACLE CORP,-0.001041
10104,20080228,ORCL,ORACLE CORP,0.011464
10104,20080229,ORCL,ORACLE CORP,-0.031427
10104,20080303,ORCL,ORACLE CORP,0.007979
10104,20080304,ORCL,ORACLE CORP,-0.026913
10104,20080305,ORCL,ORACLE CORP,0.019517
10104,20080306,ORCL,ORACLE CORP,0.022878
10104,20080307,ORCL,ORACLE CORP,-0.01196
10104,20080310,ORCL,ORACLE CORP,0.014737
10104,20080311,ORCL,ORACLE CORP,0.012023
10104,20080312,ORCL,ORACLE CORP,0.00862
10104,20080313,ORCL,ORACLE CORP,0.00813
10104,20080314,ORCL,ORACLE CORP,-0.016129
10104,20080317,ORCL,ORACLE CORP,-0.012295
10104,20080318,ORCL,ORACLE CORP,0.038382
10104,20080319,ORCL,ORACLE CORP,-0.022982
10104,20080320,ORCL,ORACLE CORP,0.02659
10104,20080324,ORCL,ORACLE CORP,0.034363
10104,20080325,ORCL,ORACLE CORP,0.014925
10104,20080326,ORCL,ORACLE CORP,-0.006641
10104,20080327,ORCL,ORACLE CORP,-0.072111
10104,20080328,ORCL,ORACLE CORP,-0.003088
10104,20080331,ORCL,ORACLE CORP,0.009809
10107,20080102,MSFT,MICROSOFT CORP,-0.010674
10107,20080103,MSFT,MICROSOFT CORP,0.004259
10107,20080104,MSFT,MICROSOFT CORP,-0.02799
10107,20080107,MSFT,MICROSOFT CORP,0.00669
10107,20080108,MSFT,MICROSOFT CORP,-0.033516
10107,20080109,MSFT,MICROSOFT CORP,0.029596
10107,20080110,MSFT,MICROSOFT CORP,-0.003194
10107,20080111,MSFT,MICROSOFT CORP,-0.012234
10107,20080114,MSFT,MICROSOFT CORP,0.014155
10107,20080115,MSFT,MICROSOFT CORP,-0.01134
10107,20080116,MSFT,MICROSOFT CORP,-0.022647
10107,20080117,MSFT,MICROSOFT CORP,-0.003611
10107,20080118,MSFT,MICROSOFT CORP,-0.00302
10107,20080122,MSFT,MICROSOFT CORP,-0.0309
